size,rope,string
1,0.00000200,0.00000000
5,0.00000000,0.00000000
10,0.00000100,0.00000000
50,0.00000200,0.00000000
100,0.00000000,0.00000000
500,0.00000100,0.00000000
1000,0.00003400,0.00000100
5000,0.00000400,0.00000100
10000,0.00061500,0.00000100
50000,0.00226500,0.00000000
100000,0.00322000,0.00000000
500000,0.02804400,0.00000100
